gsubind,mean_eigenvalue,median_eigenvalue,mean_var_explained,median_var_explained,mean_peers,n_obs
60103010,4.4099106564895205,4.794930367053338,0.463452558369473,0.47464688884227224,9.142172241615484,45262
20303010,2.1987138848627015,2.1789019940597285,0.437997765952808,0.4340511115150729,5.0,7008
60106020,2.02627781799204,2.046385580191781,0.4036474066000017,0.40765300049852143,5.0,1679
50202020,1.987457477450916,1.937422301048636,0.3959141482858571,0.38594682346286324,5.0,432
10101010,1.9016094648341866,1.8704104829928723,0.36502605312171577,0.37259764383429433,5.156170367673826,16482
50102010,1.9358427830269491,1.990893021491661,0.35801285202968636,0.35824057097316997,5.419834537647922,19098
25504030,1.7757589853348992,1.8428426128594464,0.3537424645389363,0.3671059490696198,5.0,218
60101070,1.7583642681294618,1.758652566871411,0.35027732642896425,0.3503347573688287,5.0,44
40204010,4.394812900149893,3.034046869477396,0.34386742320716157,0.3514098934751857,12.444365539390683,156306
40402050,1.7326995448004359,1.816889519248233,0.3438096090116295,0.36193592804071956,5.029126213592233,1854
15104010,1.7544025411644963,1.692011683450805,0.3420519866754419,0.332122923266662,5.111373475009839,2541
60101080,1.7389362466017046,1.7947101891421775,0.33992336796981704,0.3432463341586087,5.101047771266205,5631
25102010,1.7280018739521013,1.7586819315503355,0.3366425548515561,0.3335114759538105,5.119900553734885,8849
40201050,2.9133643957636473,2.891014019088658,0.32931029282777635,0.32558633204704757,8.95529392047597,47734
25501010,1.6471863875956474,1.6213660154642708,0.3281299867353234,0.32298640466788253,5.0,11838
55104010,2.57829177877101,2.5456505819662008,0.3207761869946654,0.3017940964372864,8.542401012729446,71095
15102010,1.6856140717604118,1.6567218741076948,0.3143349740955048,0.31247254606827046,5.380648135950468,45546
60106010,2.7396067084376905,2.733458073765254,0.31278629923290135,0.3119182930066604,8.558648111332008,90540
60102510,2.443872544641311,2.615788756126087,0.3114808518761742,0.3064021556553869,7.738725788768425,41045
20304010,1.5652382292430331,1.5683376977965373,0.3094715597005515,0.30942590624261473,5.042015209125475,10520
30101020,1.87265444498008,1.8123794677106506,0.305726408244593,0.29108058626680905,6.100269438029254,20784
15104020,1.7673664087981358,1.6977063069397225,0.3051999632733933,0.290293142104386,5.8154428521766,25889
10102050,1.5291725452799299,1.4963614191036232,0.3046208800517955,0.2980846953928646,5.0,1472
30203010,1.5737772372067145,1.5462388078980813,0.3042336181043703,0.30081334866848775,5.160820182932958,19898
40301010,2.0018797641780304,1.9669283433096725,0.30322954237323163,0.31013807640960533,6.818962651002992,36092
50201030,1.842309282344176,1.9381780095650887,0.29043673929713804,0.283045314651541,6.372652670794945,19863
50201040,1.5125076335899865,1.516441000839083,0.2892864376019527,0.2897538106968303,5.2280327589148605,11722
60201020,1.4991182224731674,1.4793593435478305,0.2873049269532653,0.2840146225377894,5.212539851222104,5646
50201020,1.9587059899648374,1.9599430159124633,0.2792904528354116,0.27295947971135687,7.129006688134753,40370
15101030,1.5304960132741288,1.4919868849820457,0.27732151552227846,0.27326121060628034,5.5147090810222945,36780
60201040,2.004952495780427,1.9773470055088453,0.2752944474285686,0.27603304288576375,7.327851748807631,40256
60105010,2.4246781552983707,2.1876570578100036,0.2730980721822567,0.27449907902491194,8.67849707544364,90783
60101060,1.5279247087348753,1.5193503098295396,0.27202465837257866,0.266934218287107,5.653928724774581,2329
25302010,2.0424532218415217,1.912369844833179,0.2668125859040755,0.27336025431584043,7.843162055335968,132825
20106015,1.3617485104371645,1.3646745304449432,0.26596694621796557,0.26643538998852834,5.112510761701935,22069
35102010,1.9114834612120348,1.864824841451208,0.26499799483540426,0.25622641423859555,7.355553088749514,72068
10102030,2.4769963490978606,2.3638948913823676,0.2617593328340365,0.2489352477408656,9.831543397500845,118440
25401030,1.3025455367913652,1.3015265637085773,0.2594753410592323,0.2592723551514705,5.0,2712
