naics,mean_eigenvalue,median_eigenvalue,mean_var_explained,median_var_explained,mean_peers,n_obs,naics_name
483112,1.5697043845415088,1.576682427019426,0.7817376994442832,0.785212875360865,2.0,9526,Deep Sea Passenger Transportation
513322,1.550583486530931,1.5733398089702622,0.7722151887286978,0.7835481985149522,2.0,210,Unknown
21211,1.6347923499364678,1.5508385069279587,0.7385723370869912,0.7331737731592665,2.2158602920125965,3493,Unknown
311615,1.4774624833542433,1.5533433982247344,0.7357997684958633,0.7735896685603341,2.0,4912,Poultry Processing
561510,1.4158432727889454,1.3569887326015884,0.6917655975070697,0.6617794463094365,2.041866028708134,20064,Travel Agencies
325311,1.3531063045367402,1.338426605819481,0.6723391362635327,0.6660942551163579,2.0060975609756095,1804,Nitrogenous Fertilizer Manufacturing
212230,1.3440205799564344,1.3456976003005887,0.6693435824783036,0.670178765229063,2.0,3376,"Copper, Nickel, Lead, and Zinc Mining"
322211,1.3160261707479608,1.2947462197212445,0.6554019223367821,0.6448041689484769,2.0,2016,Corrugated and Solid Fiber Box Manufacturing
713110,1.3132907394370033,1.308639336921089,0.6540396341243806,0.6517231618396695,2.0,2496,Amusement and Theme Parks
441330,1.4569428095799903,1.4030847645541848,0.6530740231998389,0.6399533453265778,2.240875071963155,17370,Automotive Parts and Accessories Retailers
531130,1.792286523575093,1.6657527121464035,0.6455399482310523,0.6182701047265786,2.770792582740005,25562,Lessors of Miniwarehouses and Self-Storage Units
337214,1.282849388924406,1.2873096153069363,0.6388793583730672,0.6411006219088116,2.0,11956,Office Furniture (except Wood) Manufacturing
812210,1.29965174625369,1.2858858006179321,0.6382648967299513,0.6371330937958968,2.039203084832905,9336,Funeral Homes and Funeral Services
336612,1.2707072427936852,1.1940267389604657,0.6328323768674902,0.5946442688076923,2.0,5004,Boat Building
325193,1.2630704109607909,1.2441020415454873,0.6289689794888532,0.6195659528904953,2.0002602980412574,15367,Ethyl Alcohol Manufacturing
331210,1.2585473972792134,1.2475294335795062,0.6267765807878622,0.6212894599770955,2.0,3276,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
711212,1.2339554859195954,1.228672809421942,0.612606722217078,0.6111273428196016,2.0080440304826417,9448,Racetracks
321911,1.2188488310698602,1.2150788161111392,0.6070060646796328,0.6051285373886826,2.0,2226,Wood Window and Door Manufacturing
517312,1.2688868453865665,1.232086662189104,0.6055903265078202,0.5725195430985115,2.1082589285714284,1792,Unknown
326211,1.2104027857993704,1.2002533868353618,0.6027998000707181,0.5977452382850712,2.0,6835,Tire Manufacturing (except Retreading)
561621,1.210315241485114,1.2288055981477277,0.6027562016126262,0.6119646927283325,2.0,480,Security Systems Services (except Locksmiths)
532111,1.238422268062067,1.2212414112214418,0.6021805234069635,0.5922814669400606,2.0682119205298015,4530,Passenger Car Rental
311230,1.207200971761414,1.1875365497186277,0.6012052458573709,0.5914120515463801,2.0,6057,Breakfast Cereal Manufacturing
451211,1.2259613897412278,1.2793733966172836,0.5996048024756068,0.6360837840797626,2.0543478260869565,4600,Unknown
111339,1.2021162731907549,1.198065066810741,0.5986729852596815,0.5966554201775716,2.0,2234,Other Noncitrus Fruit Farming
621492,1.192307562790453,1.1925857486393305,0.5937880917865153,0.5939266327549049,2.0,2022,Kidney Dialysis Centers
457110,1.2794182344459,1.279043928549189,0.5929572585626237,0.6100853643402918,2.182854311199207,6054,Gasoline Stations with Convenience Stores
339930,1.26116735202397,1.2395985523665405,0.5928431981368237,0.5883639928384354,2.149642312653923,17054,"Doll, Toy, and Game Manufacturing"
212220,1.2524855346194874,1.2746625695957832,0.5918051464113523,0.6343038275966862,2.156456953642384,2416,Gold Ore and Silver Ore Mining
321991,1.1808089132645727,1.1835124653224365,0.5880615818043805,0.5894079936427215,2.0,2494,Manufactured Home (Mobile Home) Manufacturing
336360,1.1684242317787021,1.087219457287233,0.5818938138421712,0.541452547180745,2.0,3262,Motor Vehicle Seating and Interior Trim Manufacturing
441222,1.1616721001033934,1.09764762023206,0.578531145091174,0.5466459378536648,2.0,3727,Boat Dealers
327420,1.212139821483595,1.201650265067117,0.5777766148150068,0.5791005445574601,2.110828729281768,9050,Gypsum Product Manufacturing
331410,1.1598054426966367,1.155568959964442,0.5776015200731265,0.575491684426736,2.0,1089,Nonferrous Metal (except Aluminum) Smelting and Refining
423310,1.1820104107368392,1.1343888435701839,0.5746321762367609,0.5577848228097042,2.073128264654672,5169,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
314110,1.1537899344561477,1.1044523805245123,0.5745709877196659,0.5500060219641696,2.0001707650273226,5856,Carpet and Rug Mills
541810,1.3328835042060312,1.231071089130921,0.5733787074398625,0.5506517775263645,2.394750985309925,44656,Advertising Agencies
337110,1.141765468549128,1.1196372177346385,0.5686173265988713,0.5575971064511792,2.0,341,Wood Kitchen Cabinet and Countertop Manufacturing
424410,1.1402122574970754,1.139579814717721,0.5678438028408055,0.5675288362979127,2.0,57,General Line Grocery Merchant Wholesalers
336213,1.1389251293703784,1.1094521193024933,0.5672027926031051,0.5525247657637417,2.0,1272,Motor Home Manufacturing
334111,1.1388032968008317,1.1042131707053349,0.5671421180496206,0.5499156862044426,2.0,35412,Electronic Computer Manufacturing
212111,1.1387402670696014,1.1218966955312335,0.5671107282429959,0.5587223622586104,2.0,1486,Unknown
483113,1.1382909725469441,1.1382909725469441,0.5668869724390536,0.5668869724390536,2.0,3,Coastal and Great Lakes Freight Transportation
622310,1.1350489522610954,1.1446910506476746,0.5652723948760614,0.5700743129217586,2.0,3226,Specialty (except Psychiatric and Substance Abuse) Hospitals
451110,1.1342814816620366,1.1297401155924298,0.5648901823356571,0.5626285099478172,2.0,596,Unknown
336110,1.3016212965321003,1.2631857775658213,0.5629687602984375,0.5694196072641,2.353203568532036,12330,Automobile and Light Duty Motor Vehicle Manufacturing
523110,1.12921079583233,1.0912389116230803,0.5602403717190247,0.5424304323424882,2.0088665278264637,48497,Unknown
336999,1.1249360212374113,1.1203102862073981,0.560235994703552,0.5579323052342399,2.0,4256,All Other Transportation Equipment Manufacturing
333923,1.1244139944946043,1.0744655621156551,0.5599760170994954,0.5351009049425187,2.0,7541,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
333249,1.1237650267414927,1.1161580239841946,0.5596528208573703,0.5558644127381605,2.0,771,Unknown
422210,1.1232413959439271,1.1250904900086651,0.5593920444085828,0.5603129226035217,2.0,81,Unknown
454113,1.117673932166105,1.0841016541787178,0.5566193590747864,0.5398998317437661,2.0,1568,Unknown
456110,1.117553635716778,1.0756930699200309,0.5565594495335541,0.5357122233133487,2.0,3117,Pharmacies and Drug Retailers
237990,1.11195977695186,1.107822490516916,0.5537736190772161,0.5517131847614005,2.0,4251,Other Heavy and Civil Engineering Construction
621512,1.1110959673954204,1.1045218184569885,0.5533434282068462,0.5500693976839368,2.0,852,Diagnostic Imaging Centers
515112,1.1094419821650154,1.0702070455208836,0.5525197173083707,0.532980096082821,2.0,1722,Unknown
812331,1.1511677444167234,1.1443080127383036,0.5524474723337683,0.5593222592197455,2.1105593690667446,13694,Linen Supply
327320,1.1066626505264945,1.1108047630978621,0.5511355660360122,0.5531984038443719,2.0,1288,Ready-Mix Concrete Manufacturing
312140,1.1057349959180456,1.0737744032904597,0.5506735793163283,0.5347566968767964,2.0,2535,Distilleries
237130,1.105243228916064,1.0823872754143173,0.550428671543516,0.5390460439067333,2.0,10320,Power and Communication Line and Related Structures Construction
517210,1.1604192941132825,1.1540260952806545,0.5502762190875715,0.5451861750815208,2.131241084165478,3505,Unknown
562111,1.534384523919455,1.4687994978359957,0.5485827175146041,0.5775521205881109,3.0065862081241765,56178,Solid Waste Collection
313210,1.1004739012005131,1.1016977931745786,0.5480534706375572,0.5486629882674985,2.0,6360,Broadwoven Fabric Mills
442299,1.0996391215029762,1.0998822070470933,0.5476377370977124,0.5477587975571835,2.0,2450,Unknown
532490,1.0994303295942744,1.0575132414502388,0.5475337554130216,0.5266583801666863,2.0,3775,Other Commercial and Industrial Machinery and Equipment Rental and Leasing
334417,1.0981662420214124,1.07484429293584,0.5469042197368542,0.5352895189025711,2.0,11743,Electronic Connector Manufacturing
333315,1.0965034438796633,1.0854487613953592,0.5460761198686418,0.540570712520308,2.0,1028,Unknown
4841,1.0948633098572886,1.0938002644287308,0.5452593070916258,0.5447298935944671,2.0,2896,Unknown
31621,1.0947450228587843,1.082572742483928,0.5452003982887994,0.5391384094513211,2.0,4909,Unknown
447110,1.094650410306778,1.0774935025803791,0.5451532797361136,0.5366088673564984,2.0,1567,Unknown
522310,1.0936120060658059,1.0864705950184084,0.5446361379415025,0.5410796018841677,2.0,4545,Mortgage and Nonmortgage Loan Brokers
444110,1.2212206174649995,1.1780266195230116,0.5445602442752812,0.5394982181773404,2.3038051919236744,18028,Home Centers
424120,1.092354677771945,1.053573452861263,0.5440099684935679,0.5246963029130497,2.0,1175,Stationery and Office Supplies Merchant Wholesalers
311611,1.1104804515440032,1.0852879250741954,0.5438204898088164,0.5365419340991463,2.0461176984864213,18301,Animal (except Poultry) Slaughtering
237310,1.0903114851047924,1.0665129279076229,0.5429924261136962,0.5311403668746294,2.0,3419,"Highway, Street, and Bridge Construction"
611430,1.0900598327034223,1.0823936391881877,0.5428670992233314,0.5390492131671331,2.0,8532,Professional and Management Development Training
4244,1.5778933136037248,1.589103708131675,0.5422426875510273,0.5374653516113437,2.942138745834596,13204,Unknown
513110,1.127944911224877,1.1157238749036977,0.5415026667281464,0.5424547469134265,2.099938968568813,6554,Newspaper Publishers
31142,1.0979789017066472,1.0958181248753647,0.5414507065928869,0.5445066725085614,2.027826855123675,4528,Unknown
3253,1.0852972910835437,1.0886642274329046,0.5404952779007332,0.542172065646149,2.0,3171,Unknown
524127,1.4544135572252748,1.3968895217566089,0.5396730368808074,0.5354961909906029,2.737055181329523,29394,Direct Title Insurance Carriers
611699,1.0832852236621486,1.0824134695266385,0.5394932363873002,0.5390590889904491,2.0,746,All Other Miscellaneous Schools and Instruction
713940,1.2043412555205373,1.1732616026323925,0.5394215049299528,0.5448629943189406,2.2593503300116473,7727,Fitness and Recreational Sports Centers
451120,1.0831365241865936,1.0809322592189476,0.5394191816881646,0.5383214227459442,2.0,575,Unknown
541890,1.0823433935279292,1.0921466638540827,0.5390241900307742,0.5439063742606642,2.0,4932,Other Services Related to Advertising
